Date,S&P 500 COMPOSITE MASS (Vol/Out),FTSE 100 MASS (Vol/Out),DAX 30 PERFORMANCE MASS (Vol/Out),TOPIX MASS (Vol/Out),SHANGHAI SE A SHARE MASS (Vol/Out),KOREA SE COMPOSITE (KOSPI) MASS (Vol/Out),NIKKEI 225 STOCK AVERAGE MASS (Vol/Out),DOW JONES INDUSTRIALS MASS (Vol/Out)
1974-01-03,,,,,,,,
1974-01-04,,,,,,,,
1974-01-07,,,,,,,,
1974-01-08,,,,,,,,
1974-01-09,,,,,,,,
1974-01-10,,,,,,,,
1974-01-11,,,,,,,,
1974-01-14,,,,,,,,
1974-01-15,,,,,,,,
1974-01-16,,,,,,,,
1974-01-17,,,,,,,,
1974-01-18,,,,,,,,
1974-01-21,,,,,,,,
1974-01-22,,,,,,,,
1974-01-23,,,,,,,,
1974-01-24,,,,,,,,
1974-01-25,,,,,,,,
1974-01-28,,,,,,,,
1974-01-29,,,,,,,,
1974-01-30,,,,,,,,
1974-01-31,,,,,,,,
1974-02-01,,,,,,,,
1974-02-04,,,,,,,,
1974-02-05,,,,,,,,
1974-02-06,,,,,,,,
1974-02-07,,,,,,,,
1974-02-08,,,,,,,,
1974-02-11,,,,,,,,
1974-02-12,,,,,,,,
1974-02-13,,,,,,,,
1974-02-14,,,,,,,,
1974-02-15,,,,,,,,
1974-02-18,,,,,,,,
1974-02-19,,,,,,,,
1974-02-20,,,,,,,,
1974-02-21,,,,,,,,
1974-02-22,,,,,,,,
1974-02-25,,,,,,,,
1974-02-26,,,,,,,,
1974-02-27,,,,,,,,
1974-02-28,,,,,,,,
1974-03-01,,,,,,,,
1974-03-04,,,,,,,,
1974-03-05,,,,,,,,
1974-03-06,,,,,,,,
1974-03-07,,,,,,,,
1974-03-08,,,,,,,,
1974-03-11,,,,,,,,
1974-03-12,,,,,,,,
1974-03-13,,,,,,,,
1974-03-14,,,,,,,,
1974-03-15,,,,,,,,
1974-03-18,,,,,,,,
1974-03-19,,,,,,,,
1974-03-20,,,,,,,,
1974-03-21,,,,,,,,
1974-03-22,,,,,,,,
1974-03-25,,,,,,,,
1974-03-26,,,,,,,,
1974-03-27,,,,,,,,
1974-03-28,,,,,,,,
1974-03-29,,,,,,,,
1974-04-01,,,,,,,,
1974-04-02,,,,,,,,
1974-04-03,,,,,,,,
1974-04-04,,,,,,,,
1974-04-05,,,,,,,,
1974-04-08,,,,,,,,
1974-04-09,,,,,,,,
1974-04-10,,,,,,,,
1974-04-11,,,,,,,,
1974-04-12,,,,,,,,
1974-04-15,,,,,,,,
1974-04-16,,,,,,,,
1974-04-17,,,,,,,,
1974-04-18,,,,,,,,
1974-04-19,,,,,,,,
1974-04-22,,,,,,,,
1974-04-23,,,,,,,,
1974-04-24,,,,,,,,
1974-04-25,,,,,,,,
1974-04-26,,,,,,,,
1974-04-29,,,,,,,,
1974-04-30,,,,,,,,
1974-05-01,,,,,,,,
1974-05-02,,,,,,,,
1974-05-03,,,,,,,,
1974-05-06,,,,,,,,
1974-05-07,,,,,,,,
1974-05-08,,,,,,,,
1974-05-09,,,,,,,,
1974-05-10,,,,,,,,
1974-05-13,,,,,,,,
1974-05-14,,,,,,,,
1974-05-15,,,,,,,,
1974-05-16,,,,,,,,
1974-05-17,,,,,,,,
1974-05-20,,,,,,,,
1974-05-21,,,,,,,,
1974-05-22,,,,,,,,
1974-05-23,,,,,,,,
1974-05-24,,,,,,,,
1974-05-27,,,,,,,,
1974-05-28,,,,,,,,
1974-05-29,,,,,,,,
1974-05-30,,,,,,,,
1974-05-31,,,,,,,,
1974-06-03,,,,,,,,
1974-06-04,,,,,,,,
1974-06-05,,,,,,,,
1974-06-06,,,,,,,,
1974-06-07,,,,,,,,
1974-06-10,,,,,,,,
1974-06-11,,,,,,,,
1974-06-12,,,,,,,,
1974-06-13,,,,,,,,
1974-06-14,,,,,,,,
1974-06-17,,,,,,,,
1974-06-18,,,,,,,,
1974-06-19,,,,,,,,
1974-06-20,,,,,,,,
1974-06-21,,,,,,,,
1974-06-24,,,,,,,,
1974-06-25,,,,,,,,
1974-06-26,,,,,,,,
1974-06-27,,,,,,,,
1974-06-28,,,,,,,,
1974-07-01,,,,,,,,
1974-07-02,,,,,,,,
1974-07-03,,,,,,,,
1974-07-04,,,,,,,,
1974-07-05,,,,,,,,
1974-07-08,,,,,,,,
1974-07-09,,,,,,,,
1974-07-10,,,,,,,,
1974-07-11,,,,,,,,
1974-07-12,,,,,,,,
1974-07-15,,,,,,,,
1974-07-16,,,,,,,,
1974-07-17,,,,,,,,
1974-07-18,,,,,,,,
1974-07-19,,,,,,,,
1974-07-22,,,,,,,,
1974-07-23,,,,,,,,
1974-07-24,,,,,,,,
1974-07-25,,,,,,,,
1974-07-26,,,,,,,,
1974-07-29,,,,,,,,
1974-07-30,,,,,,,,
